country,sex,education,ID,age,marital_status,hh_size,child,employment_status,income_loss,insurance_unemp,lost_job,work_hours,hh_resp,child_rep,adult_care,hh_resp3,child_rep3,hh_resp0,child_rep0,adult_care0,partner_support,child_support,dsupport,ssupport,family_support,domestic_support,source_info,use_info,food_access,access_product,access_care,access_water,access_transp,access_soc,ill_death,mental_health,discrimination,violence,cash_relief,inkind_relief,friends_support,ngo_support,num_child,hh_loss,count_adult,adult_care3,lost_dw_support,lost_relative_support,received_info,gov_support_unemp,weights,urban_rural,refugee_camp,employed,safe,reason_safe1,violence_spouse,violence_family,increase_gbv,priority_gbv,head,disability,hh_resp_b,child_rep_b,adult_care_b,nonhh_rep,risk_covid,reason_safe,coping_1,coping_2,coping_3,coping_4,coping_5,coping_6,coping_7,coping_8,coex,safe_community,UserId,employment_status_a,emp_y,emp_y_a,lost_job_hh,food_need,violence_comm,GBV_problem,GBV_change,help_women,region,hh_size_cat,age_cat,age_cat2,education2,edu_age,edu_child,young_child,hh_comp_mar,countryweightf,countryweightm,_merge,weights_sample
Chile,Women,Tertiary,287,51,,3,0,Formal employee,No,yes,No,No change,yes,No,No,No,No,yes,No,No,yes,,,,No,No,Internet and social media ,No,No,No,No,No,No,No,No,yes,No,,No,,No,yes,0,No,0,No,,,No,No,0,,,,Yes,,,,,,yes,No,Yes,No,No,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,50-54,45-59,Tertiary Education and More,0,0,0,,0,0,Matched (3),1
Chile,Women,Tertiary,187,28,Living with partner/Cohabiting,2,0,Own Account Worker,yes,yes,yes,,yes,,yes,yes,,yes,yes,yes,yes,,,,,,,No,No,yes,No,No,No,No,yes,yes,No,,No,,No,yes,0,No,1,No,,,No,No,0,,,,No,,,,,,No,yes,Yes,No,No,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,25-29,25-34,Tertiary Education and More,0,0,0,Partnered without children,0,0,Matched (3),1
Chile,Women,Technical,801,34,Living with partner/Cohabiting,5,1,Formal employee,No,yes,No,Increased,yes,yes,yes,No,yes,No,No,yes,,yes,,,yes,No,Internet and social media ,yes,No,yes,yes,yes,yes,yes,yes,yes,Yes,,yes,,No,No,1,yes,1,No,,No,No,No,0,,,,Yes,,,,,,yes,No,No,No,No,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,30-34,25-34,Tertiary Education and More,0,0,0,Partnered with children,0,0,Matched (3),1
Chile,Women,Tertiary,215,37,Single,1,0,Formal employee,No,yes,No,No change,yes,No,yes,No,No,yes,No,No,,,,,,,Official Government websites or other communication platforms,No,No,No,No,No,yes,,No,yes,Yes,,No,,No,yes,0,yes,3,yes,,,No,No,0,,,,Yes,,,,,,yes,No,Yes,No,Yes,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,1,35-39,35-44,Tertiary Education and More,0,0,0,Single without children,0,0,Matched (3),1
Chile,Women,Tertiary,601,35,Living with partner/Cohabiting,2,0,Own Account Worker,yes,yes,No,Decreased,No,,,No,,yes,yes,yes,No,,,,No,No,Public service announcement/speaker,yes,No,No,No,No,No,No,No,yes,No,,No,,No,yes,0,yes,0,,,,No,No,0,,,,Yes,,,,,,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,35-39,35-44,Tertiary Education and More,0,0,0,Partnered without children,0,0,Matched (3),1
Chile,Women,Technical,914,51,Living with partner/Cohabiting,3,1,Formal employee,yes,yes,No,Increased,yes,yes,yes,yes,yes,yes,No,yes,yes,yes,,,yes,No,Radio/Television/Newspaper,yes,yes,yes,yes,No,,,yes,yes,No,,No,,No,yes,1,No,1,No,No,yes,No,No,0,,,,Yes,,,,,,yes,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,50-54,45-59,Tertiary Education and More,0,0,0,Partnered with children,0,0,Matched (3),1
Chile,Women,Secondary,1053,37,Living with partner/Cohabiting,5,1,Employer,yes,yes,No,,No,No,,No,No,yes,yes,yes,yes,yes,,,,,Radio/Television/Newspaper,No,No,yes,No,No,No,No,yes,yes,No,,No,,No,yes,3,No,0,,,,No,yes,0,,,,Yes,,,,,,yes,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,35-39,35-44,Secondary Education or Less,0,1,0,Partnered with children,0,0,Matched (3),1
Chile,Women,Tertiary,623,72,Living with partner/Cohabiting,2,0,Retired/Pension,,yes,,,No,,yes,No,,yes,yes,yes,yes,,,,,No,Radio/Television/Newspaper,yes,No,No,,No,,,No,yes,Yes,,No,,No,yes,0,No,1,No,No,,No,No,0,,,,Yes,,,,,,No,No,Yes,No,No,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,>=60,>60,Tertiary Education and More,0,0,0,Partnered without children,0,0,Matched (3),1
Chile,Women,Tertiary,258,20,,5,1,Not employed,,yes,,,No,No,No,No,No,yes,No,No,yes,No,,,yes,No,Internet and social media ,yes,No,yes,yes,No,No,No,yes,yes,No,,No,,No,No,1,No,0,No,,No,No,No,0,,,,No,,,,,,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,18-24,18-24,Tertiary Education and More,0,0,1,,0,0,Matched (3),1
Chile,Women,Secondary,918,27,Single,2,1,Formal employee,yes,yes,yes,,yes,yes,No,yes,yes,yes,No,No,,yes,,,No,No,Internet and social media ,No,No,yes,yes,No,No,No,yes,yes,Yes,,yes,,No,No,1,No,0,No,,yes,No,yes,0,,,,No,,,,,,yes,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,25-29,25-34,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Chile,Women,Primary,456,26,,9,1,Informal/no insurance employee,,yes,yes,,yes,yes,yes,yes,yes,yes,No,No,yes,No,,,yes,No,Internet and social media ,yes,No,No,No,No,No,No,No,No,No,,No,,No,yes,4,No,1,No,,No,No,yes,0,,,,Yes,,,,,,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,LACRO,8 and more,25-29,25-34,Secondary Education or Less,0,1,0,,0,0,Matched (3),1
Chile,Women,Tertiary,892,26,Single,5,1,Informal/no insurance employee,yes,yes,yes,,yes,,yes,No,,yes,yes,yes,,,,,yes,No,Official Government websites or other communication platforms,yes,No,No,No,No,No,No,yes,yes,No,,No,,No,No,1,No,1,No,,,No,,0,,,,Yes,,,,,,No,No,No,No,No,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,25-29,25-34,Tertiary Education and More,0,0,0,Single Parent,0,0,Matched (3),1
Chile,Women,Tertiary,540,29,,5,1,Formal employee,No,yes,No,Increased,yes,yes,yes,yes,yes,yes,No,No,No,No,,,yes,,Internet and social media ,No,yes,yes,No,No,yes,No,yes,yes,No,,No,,No,yes,1,yes,3,yes,,yes,No,No,0,,,,No,,,,,,yes,No,Yes,Yes,Yes,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,25-29,25-34,Tertiary Education and More,0,0,0,,0,0,Matched (3),1
Chile,Women,Tertiary,1114,31,Single,3,1,Not employed,,yes,,,yes,yes,No,yes,yes,No,yes,yes,No,No,,,No,No,Internet and social media ,yes,No,yes,No,No,No,No,No,yes,Yes,,No,,No,yes,1,yes,0,No,,,No,No,0,,,,Yes,,,,,,No,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,30-34,25-34,Tertiary Education and More,0,0,0,Single Parent,0,0,Matched (3),1
Chile,Women,Tertiary,2,24,Single,4,1,Did not work (not in the labor force),,yes,,,yes,,yes,yes,,yes,yes,No,,,,,yes,No,Public service announcement/speaker,No,yes,yes,yes,No,yes,,yes,yes,No,,No,,No,yes,1,yes,1,No,,,No,No,0,,,,Yes,,,,,,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,18-24,18-24,Tertiary Education and More,0,0,1,Single Parent,0,0,Matched (3),1
Chile,Women,Technical,283,26,Single,6,1,Formal employee,No,yes,No,Increased,yes,,,No,,No,yes,yes,,,,,,No,Radio/Television/Newspaper,yes,yes,yes,No,No,yes,,No,No,Yes,,No,,No,yes,1,,0,,,,No,No,0,,,,Yes,,,,,,No,yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,LACRO,6-7,25-29,25-34,Tertiary Education and More,0,0,0,Single Parent,0,0,Matched (3),1
Chile,Women,Tertiary,218,34,,5,1,Formal employee,No,yes,No,Increased,yes,yes,,No,yes,No,No,yes,yes,No,,,yes,yes,Internet and social media ,No,No,yes,No,No,No,No,No,yes,No,,No,,No,yes,2,yes,0,,No,No,No,No,0,,,,Yes,,,,,,No,No,No,No,No,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,30-34,25-34,Tertiary Education and More,0,0,0,,0,0,Matched (3),1
Chile,Women,Tertiary,1223,60,Living with partner/Cohabiting,3,0,Retired/Pension,,yes,,,yes,,,No,,yes,yes,yes,yes,No,,,yes,No,Official Government websites or other communication platforms,yes,No,No,No,No,,No,yes,yes,No,,yes,,No,yes,0,yes,0,,No,yes,No,No,0,,,,No,,,,,,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,>=60,>60,Tertiary Education and More,0,0,0,Partnered without children,0,0,Matched (3),1
Chile,Women,Secondary,235,63,,3,0,Retired/Pension,,yes,,,yes,,yes,yes,,yes,yes,No,yes,yes,,,No,No,Radio/Television/Newspaper,No,yes,yes,yes,No,yes,yes,yes,yes,Yes,,No,,No,yes,0,No,2,No,,,No,No,0,,,,No,,,,,,No,No,Yes,No,Yes,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,>=60,>60,Secondary Education or Less,0,0,0,,0,0,Matched (3),1
Chile,Women,Technical,339,41,,5,1,Did not work (not in the labor force),,yes,,,yes,yes,No,yes,yes,yes,No,No,yes,yes,,,No,No,Internet and social media ,No,yes,yes,yes,No,No,,yes,yes,No,,No,,No,yes,2,No,0,No,,,No,No,0,,,,No,,,,,,No,yes,Yes,Yes,No,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,40-44,35-44,Tertiary Education and More,0,0,0,,0,0,Matched (3),1
Chile,Women,Secondary,442,63,Widowed,1,0,Informal/no insurance employee,yes,yes,yes,,No,,,No,,No,yes,yes,,,,,,,Radio/Television/Newspaper,No,yes,yes,No,No,yes,No,No,yes,No,,No,,No,yes,0,No,0,,,,No,No,0,,,,Yes,,,,,,yes,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,LACRO,1,>=60,>60,Secondary Education or Less,0,0,0,Single without children,0,0,Matched (3),1
Chile,Women,Technical,1267,20,Single,3,1,Own Account Worker,yes,No,No,Decreased,yes,yes,yes,yes,No,yes,No,No,No,No,,,yes,No,Internet and social media ,No,yes,yes,yes,No,No,yes,yes,yes,No,,No,,No,yes,1,No,1,No,,,No,yes,0,,,,No,,,,,,yes,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,18-24,18-24,Tertiary Education and More,0,0,1,Single Parent,0,0,Matched (3),1
Chile,Women,Tertiary,1170,20,Single,4,0,Did not work (not in the labor force),,yes,,,yes,No,yes,yes,No,yes,No,No,,,,,yes,yes,Official Government websites or other communication platforms,No,yes,yes,yes,yes,No,No,No,yes,Yes,,yes,,No,No,0,No,3,yes,No,,No,No,0,,,,Yes,,,,,,No,yes,No,No,No,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,18-24,18-24,Tertiary Education and More,0,0,0,Single without children,0,0,Matched (3),1
Chile,Women,Tertiary,1413,30,Living with partner/Cohabiting,2,0,Formal employee,No,yes,No,No change,yes,,,yes,,yes,yes,yes,yes,,,,,No,Radio/Television/Newspaper,No,No,No,,No,,,yes,yes,No,,No,,No,yes,0,yes,0,,,No,No,No,0,,,,Yes,,,,,,No,No,Yes,No,No,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,30-34,25-34,Tertiary Education and More,0,0,0,Partnered without children,0,0,Matched (3),1
Chile,Women,Tertiary,517,29,Single,6,1,Formal employee,No,yes,No,Decreased,,yes,,,yes,No,No,yes,,,,,yes,,Internet and social media ,yes,No,yes,yes,No,yes,yes,No,yes,No,,No,,No,yes,2,No,0,,,,No,No,0,,,,Yes,,,,,,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,LACRO,6-7,25-29,25-34,Tertiary Education and More,0,0,0,Single Parent,0,0,Matched (3),1
Chile,Women,Technical,385,43,,3,1,Formal employee,yes,yes,yes,,yes,yes,yes,yes,yes,yes,No,yes,No,No,,,No,No,Radio/Television/Newspaper,yes,No,No,No,No,No,No,yes,yes,No,,No,,No,yes,1,yes,1,No,,,No,yes,0,,,,Yes,,,,,,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,40-44,35-44,Tertiary Education and More,0,0,0,,0,0,Matched (3),1
Chile,Women,Secondary,704,36,Single,4,1,Formal employee,yes,yes,No,Decreased,yes,No,,yes,No,yes,yes,yes,,No,,,No,,Internet and social media ,No,yes,yes,yes,No,yes,yes,yes,yes,No,,No,,No,yes,3,No,0,,,yes,No,No,0,,,,Yes,,,,,,yes,yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,35-39,35-44,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Chile,Women,Secondary,1509,44,,2,0,Formal employee,yes,yes,yes,,No,No,yes,No,No,No,yes,No,yes,,,,,,Public service announcement/speaker,yes,yes,No,No,No,No,No,yes,yes,No,,No,,No,No,0,No,1,No,,,No,yes,0,,,,Yes,,,,,,No,No,No,No,No,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,40-44,35-44,Secondary Education or Less,0,0,0,,0,0,Matched (3),1
Chile,Women,Tertiary,1216,58,Separated/Divorced,2,0,Formal employee,No,yes,No,Increased,yes,yes,yes,yes,No,yes,yes,yes,,No,,,,yes,Radio/Television/Newspaper,No,No,No,No,No,No,No,yes,yes,Yes,,No,,No,No,0,yes,1,No,No,No,No,No,0,,,,Yes,,,,,,yes,No,Yes,Yes,Yes,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,55-60,45-59,Tertiary Education and More,0,0,0,Single without children,0,0,Matched (3),1
Chile,Women,Tertiary,1150,36,Single,3,0,Informal/no insurance employee,No,yes,No,No change,yes,,yes,No,,yes,yes,yes,,,,,yes,No,Radio/Television/Newspaper,yes,No,No,No,No,No,,yes,No,No,,No,,yes,yes,0,No,2,No,,,No,No,0,,,,Yes,,,,,,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,35-39,35-44,Tertiary Education and More,0,0,0,Single without children,0,0,Matched (3),1
Chile,Women,Tertiary,1282,43,Living with partner/Cohabiting,4,1,Formal employee,No,yes,No,Increased,yes,yes,No,yes,yes,yes,No,No,yes,No,,,No,No,Radio/Television/Newspaper,No,No,No,No,No,No,No,yes,yes,Yes,,No,,No,yes,2,yes,0,No,yes,,No,No,0,,,,Yes,,,,,,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,40-44,35-44,Tertiary Education and More,0,0,0,Partnered with children,0,0,Matched (3),1
Chile,Women,Technical,419,64,Separated/Divorced,3,0,Retired/Pension,,yes,,,No,,No,No,,yes,yes,yes,,,,,,,Radio/Television/Newspaper,yes,No,No,No,No,No,No,No,yes,No,,No,,No,yes,0,No,0,No,,,No,No,0,,,,Yes,,,,,,yes,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,>=60,>60,Tertiary Education and More,0,0,0,Single without children,0,0,Matched (3),1
Chile,Women,Technical,175,48,Living with partner/Cohabiting,4,1,Formal employee,No,yes,No,Decreased,No,No,No,No,No,yes,No,yes,yes,,,,No,,Internet and social media ,yes,No,No,No,No,No,,No,No,No,,No,,No,yes,2,yes,0,No,,,No,No,0,,,,Yes,,,,,,yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,45-49,45-59,Tertiary Education and More,0,0,0,Partnered with children,0,0,Matched (3),1
Chile,Women,Tertiary,7,27,Living with partner/Cohabiting,3,0,Not employed,,yes,,,yes,yes,yes,yes,yes,No,yes,yes,No,No,,,No,,Radio/Television/Newspaper,yes,,yes,,No,No,No,No,yes,Yes,,No,,No,yes,0,No,1,No,,,No,No,0,,,,Yes,,,,,,yes,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,25-29,25-34,Tertiary Education and More,0,0,0,Partnered without children,0,0,Matched (3),1
Chile,Women,Tertiary,360,35,Living with partner/Cohabiting,3,1,Own Account Worker,No,yes,No,Increased,yes,yes,No,yes,yes,yes,No,yes,yes,,,,,No,Radio/Television/Newspaper,yes,No,yes,yes,No,No,No,No,No,No,,No,,No,yes,1,yes,0,No,yes,yes,No,No,0,,,,Yes,,,,,,No,No,Yes,Yes,No,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,35-39,35-44,Tertiary Education and More,0,0,0,Partnered with children,0,0,Matched (3),1
Chile,Women,Tertiary,1158,23,Single,5,1,Did not work (not in the labor force),,yes,,,yes,yes,yes,yes,yes,No,No,No,,,,,,,Internet and social media ,,No,No,No,No,No,,yes,yes,No,,No,,No,yes,1,No,2,No,,,No,No,0,,,,Yes,,,,,,No,No,No,No,No,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,18-24,18-24,Tertiary Education and More,0,0,1,Single Parent,0,0,Matched (3),1
Chile,Women,Tertiary,1177,33,Single,2,1,Own Account Worker,,yes,No,,yes,yes,,yes,yes,yes,No,yes,No,yes,,,No,No,Internet and social media ,No,No,No,No,No,No,No,yes,yes,No,,No,,No,yes,1,No,0,,,,No,No,0,,,,Yes,,,,,,No,No,Yes,Yes,No,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,30-34,25-34,Tertiary Education and More,0,0,0,Single Parent,0,0,Matched (3),1
Chile,Women,Tertiary,105,62,Living with partner/Cohabiting,5,0,Not employed,,yes,,,yes,,,yes,,yes,yes,yes,yes,yes,,,No,yes,Internet and social media ,yes,yes,yes,No,yes,No,No,yes,yes,No,,No,,No,yes,0,yes,0,,yes,No,No,No,0,,,,Yes,,,,,,No,No,No,No,No,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,>=60,>60,Tertiary Education and More,0,0,0,Partnered without children,0,0,Matched (3),1
Chile,Women,Tertiary,447,30,Living with partner/Cohabiting,2,0,Employer,yes,yes,No,Increased,yes,No,yes,No,No,yes,No,No,yes,,,,,,Internet and social media ,yes,No,yes,No,No,No,No,yes,yes,No,,yes,,No,yes,0,,1,No,,,No,No,0,,,,Yes,,,,,,No,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,30-34,25-34,Tertiary Education and More,0,0,0,Partnered without children,0,0,Matched (3),1
Chile,Women,Secondary,386,43,,2,0,Other,,yes,,,yes,,,No,,yes,yes,yes,yes,,,,,No,Radio/Television/Newspaper,No,yes,yes,No,No,yes,No,No,yes,No,,No,,No,yes,0,No,0,,,No,No,No,0,,,,Yes,,,,,,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,40-44,35-44,Secondary Education or Less,0,0,0,,0,0,Matched (3),1
Chile,Women,Secondary,847,55,Separated/Divorced,5,0,Did not work (not in the labor force),,yes,,,No,,,No,,yes,yes,yes,,,,,yes,,Internet and social media ,,No,yes,yes,,No,yes,No,yes,No,,No,,No,yes,0,No,0,,,,No,No,0,,,,Yes,,,,,,No,yes,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,55-60,45-59,Secondary Education or Less,0,0,0,Single without children,0,0,Matched (3),1
Chile,Women,Technical,380,36,Single,2,1,Formal employee,yes,yes,No,No change,yes,yes,,yes,yes,yes,No,yes,,yes,,,,,Internet and social media ,,No,No,No,No,yes,No,No,No,No,,No,,No,yes,1,No,0,,,yes,No,No,0,,,,Yes,,,,,,yes,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,35-39,35-44,Tertiary Education and More,0,0,0,Single Parent,0,0,Matched (3),1
Chile,Women,Tertiary,624,36,,31,1,Formal employee,yes,yes,No,Increased,yes,yes,yes,yes,yes,yes,No,yes,yes,,,,yes,No,Radio/Television/Newspaper,yes,yes,No,No,No,No,,No,yes,Yes,,No,,No,yes,1,No,1,No,,,No,No,0,,,,Yes,,,,,,yes,No,Yes,No,No,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,8 and more,35-39,35-44,Tertiary Education and More,0,0,0,,0,0,Matched (3),1
Chile,Women,Technical,1302,65,Living with partner/Cohabiting,5,0,Not employed,,yes,,,yes,No,No,No,No,yes,No,No,No,yes,,,yes,No,Internet and social media ,No,No,No,No,No,,,yes,No,No,,No,,No,yes,0,No,0,No,,,No,No,0,,,,Yes,,,,,,No,yes,Yes,No,No,yes,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,>=60,>60,Tertiary Education and More,0,0,0,Partnered without children,0,0,Matched (3),1
Chile,Women,Secondary,176,38,,5,1,Contributing family workers ,yes,yes,,,yes,yes,No,yes,yes,yes,No,yes,No,No,,,No,No,Public service announcement/speaker,yes,No,No,No,No,No,,No,yes,No,,yes,,No,yes,3,No,0,No,,,No,No,0,,,,Yes,,,,,,No,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,LACRO,4-5,35-39,35-44,Secondary Education or Less,0,1,0,,0,0,Matched (3),1
Chile,Women,Tertiary,433,31,Living with partner/Cohabiting,3,1,Formal employee,No,yes,No,Increased,yes,yes,yes,yes,yes,yes,No,yes,yes,,,,,No,Public service announcement/speaker,No,yes,yes,No,No,yes,,No,yes,No,,No,,No,yes,1,No,1,No,,,No,No,0,,,,Yes,,,,,,yes,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,LACRO,2-3,30-34,25-34,Tertiary Education and More,0,0,0,Partnered with children,0,0,Matched (3),1
